Pfam domain	# of occurrences	Pfam domain Name
PF09294	9	interferon-alpha/beta receptor, fibronectin type iii
PF06817	9	reverse transcriptase thumb domain
PF02022	9	integrase zinc binding domain
PF00665	9	integrase core domain
PF09240	9	interleukin-6 receptor alpha chain, binding
PF00969	9	class ii histocompatibility antigen, beta domain
PF00340	9	interleukin-1 / 18
PF00282	9	pyridoxal-dependent decarboxylase conserved domain
PF01429	9	methyl-cpg binding domain
PF04970	9	lecithin retinol acyltransferase
PF01099	9	uteroglobin family
PF13385	9	concanavalin a-like lectin/glucanases superfamily
PF02892	9	bed zinc finger
PF01556	9	dnaj c terminal domain
PF00341	9	pdgf/vegf domain
PF00557	9	metallopeptidase family m24
PF04055	9	radical sam superfamily
PF02883	9	adaptin c-terminal domain
PF00868	9	transglutaminase family
PF00292	9	'paired box' domain
PF10409	9	c2 domain of pten tumour-suppressor protein
PF00790	9	vhs domain
PF13405	9	ef-hand domain
PF00605	9	interferon regulatory factor transcription factor
PF02786	9	carbamoyl-phosphate synthase l chain, atp binding domain
PF14598	9	pas domain
PF13410	9	glutathione s-transferase, c-terminal domain
PF01064	9	activin types i and ii receptor domain
PF06839	9	grf zinc finger
PF01835	9	mg2 domain
PF01019	9	gamma-glutamyltranspeptidase
PF00753	9	metallo-beta-lactamase superfamily
PF03129	9	anticodon binding domain
PF13417	9	glutathione s-transferase, n-terminal domain
PF02902	8	ulp1 protease family, c-terminal catalytic domain
PF07810	8	tmc domain
PF13913	8	zinc-finger of a c2hc-type
PF08416	8	phosphotyrosine-binding domain
PF01138	8	3' exoribonuclease family, domain 1
PF02136	8	nuclear transport factor 2 (ntf2) domain
PF06337	8	dusp domain
PF01467	8	cytidylyltransferase-like
PF03020	8	lem domain
PF08953	8	domain of unknown function (duf1899)
PF17207	8	mcm ob domain
PF17039	8	fucosyltransferase, n-terminal
PF00258	8	flavodoxin
PF11838	8	erap1-like c-terminal domain
PF02244	8	carboxypeptidase activation peptide
PF02779	8	transketolase, pyrimidine binding domain
PF00552	8	integrase dna binding domain
PF13921	8	myb-like dna-binding domain
PF14707	8	c-terminal region of aryl-sulfatase
PF17205	8	integrin plexin domain
PF00362	8	integrin beta chain vwa domain
PF00128	8	alpha amylase, catalytic domain
PF02866	8	lactate/malate dehydrogenase, alpha/beta c-terminal domain
PF00056	8	lactate/malate dehydrogenase, nad binding domain
PF02463	8	recf/recn/smc n terminal domain
PF00062	8	c-type lysozyme/alpha-lactalbumin family
PF09336	8	vps4 c terminal oligomerisation domain
PF08513	8	lish
PF16622	8	zinc-finger c2h2-type
PF00812	8	ephrin
PF01336	8	ob-fold nucleic acid binding domain
PF03226	8	yippee zinc-binding/dna-binding /mis18, centromere assembly
PF03815	8	lccl domain
PF17960	8	tig domain
PF02196	8	raf-like ras-binding domain
PF00804	8	syntaxin
PF02209	8	villin headpiece domain
PF06017	8	unconventional myosin tail, actin- and lipid-binding
PF00462	8	glutaredoxin
PF00487	8	fatty acid desaturase
PF03024	8	folate receptor family
PF02991	8	autophagy protein atg8 ubiquitin like
PF00587	8	trna synthetase class ii core domain (g, h, p, s and t)
PF16564	8	p55-binding region of methyl-cpg-binding domain proteins mbd
PF00447	8	hsf-type dna-binding
PF02845	7	cue domain
PF04146	7	yt521-b-like domain
PF12130	7	bivalent mical/ehbp rab binding domain
PF06565	7	duf1126 ph-like domain
PF13450	7	nad(p)-binding rossmann-like domain
PF07496	7	cw-type zinc finger
PF13532	7	2og-fe(ii) oxygenase superfamily
PF18016	7	sam domain (sterile alpha motif)
PF01822	7	wsc domain
PF06747	7	chch domain
PF07533	7	brk domain
PF14844	7	ph domain associated with beige/beach
PF02865	7	stat protein, protein interaction domain
PF02864	7	stat protein, dna binding domain
PF00704	7	glycosyl hydrolases family 18
PF16207	7	rawul domain ring finger- and  wd40-associated ubiquitin-like
PF00244	7	14-3-3 protein
PF03143	7	elongation factor tu c-terminal domain
PF08758	7	cadherin prodomain like
PF04326	7	putative dna-binding domain
PF16470	7	peptidase s8 pro-domain
PF10591	7	secreted protein acidic and rich in cysteine ca binding region
PF00458	7	whep-trs domain
PF05383	7	la domain
PF08030	7	ferric reductase nad binding domain
PF08022	7	fad-binding domain
PF10421	7	2'-5'-oligoadenylate synthetase 1, domain 2, c-terminus 
PF00757	7	furin-like cysteine rich region
PF13893	7	rna recognition motif
PF06701	7	mib_herc2
PF04564	7	u-box domain
PF07500	7	transcription factor s-ii (tfiis), central domain
PF00887	7	acyl coa binding protein
PF00370	7	fggy family of carbohydrate kinases, n-terminal domain
PF08246	7	cathepsin propeptide inhibitor domain (i29)
PF05605	7	drought induced 19 protein (di19), zinc-binding
PF13365	7	trypsin-like peptidase domain
PF16863	7	n-terminal barrel of ntmgam and ctmgam, maltase-glucoamylase
PF03765	7	cral/trio, n-terminal domain
PF13733	7	n-terminal region of glycosyl transferase group 7
PF15494	7	scavenger receptor cysteine-rich domain
PF08423	7	rad51
PF06292	7	mun domain
PF08763	7	voltage gated calcium channel iq domain
PF00794	7	pi3-kinase family, ras-binding domain
PF00792	7	phosphoinositide 3-kinase c2
PF16878	7	transcriptional regulator, six1, n-terminal sd domain
PF18658	7	spin-doc zinc-finger
PF03370	7	carbohydrate/starch-binding module (family 21)
PF13649	7	methyltransferase domain
PF13695	7	zinc-binding domain
PF02197	7	regulatory subunit of type ii pka r-subunit
PF16704	7	rab binding domain
PF11977	7	zc3h12a-like ribonuclease nyn domain
PF08699	6	argonaute linker 1 domain
PF07744	6	spoc domain
PF10607	6	ctlh/cra c-terminal to lish motif domain
PF05253	6	u11-48k-like chhc zinc finger
PF18027	6	cytosolic carboxypeptidase n-terminal domain
PF12736	6	cell-cycle sustaining, positive selection, 
PF11878	6	domain of unknown function (duf3398)
PF03109	6	abc1 atypical kinase-like domain
PF14559	6	tetratricopeptide repeat
PF08373	6	rap domain
PF10557	6	cullin protein neddylation domain
PF03725	6	3' exoribonuclease family, domain 2
PF18362	6	tri-helix bundle domain
PF16517	6	novel ras effector 1 c-terminal sarah (sav/rassf/hpo) domain
PF00725	6	3-hydroxyacyl-coa dehydrogenase, c-terminal domain
PF00383	6	cytidine and deoxycytidylate deaminase zinc-binding region
PF08264	6	anticodon-binding domain of trna ligase
PF00808	6	histone-like transcription factor (cbf/nf-y) and archaeal histone
PF14551	6	mcm n-terminal domain
PF08709	6	inositol 1,4,5-trisphosphate/ryanodine receptor
PF00266	6	aminotransferase class-v
PF00352	6	transcription factor tfiid (or tata-binding protein, tbp)
PF00667	6	fad binding domain
PF17736	6	c17orf99 ig domain
PF00679	6	elongation factor g c-terminus
PF13802	6	galactose mutarotase-like
PF13843	6	transposase is4
PF02803	6	thiolase, c-terminal domain
PF00108	6	thiolase, n-terminal domain
PF10162	6	g8 domain
PF00365	6	phosphofructokinase
PF05184	6	saposin-like type b, region 1
PF16497	6	mhc-i family domain
PF08725	6	integrin beta cytoplasmic domain
PF07965	6	integrin beta tail domain
PF02806	6	alpha amylase, c-terminal all-beta domain
PF00405	6	transferrin
PF01442	6	apolipoprotein a1/a4/e domain
PF00993	6	class ii histocompatibility antigen, alpha domain
PF00103	6	somatotropin hormone family
PF14843	6	growth factor receptor domain iv
PF12202	6	oxidative-stress-responsive kinase 1 c-terminal domain
PF02878	6	phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain i
PF01417	6	enth domain
PF13873	6	myb/sant-like dna-binding domain
PF18452	6	immunoglobulin domain
PF02140	6	galactose binding lectin domain
PF08033	6	sec23/sec24 beta-sandwich domain
PF04815	6	sec23/sec24 helical domain
PF04811	6	sec23/sec24 trunk domain
PF04810	6	sec23/sec24 zinc finger
PF02891	6	miz/sp-ring zinc finger
PF01096	6	transcription factor s-ii (tfiis)
PF01510	6	n-acetylmuramoyl-l-alanine amidase
PF08005	6	phr domain 
PF07701	6	heme no binding associated
PF07978	6	nipsnap 
PF02782	6	fggy family of carbohydrate kinases, c-terminal domain
PF16457	6	pleckstrin homology domain
PF03127	6	gat domain
PF09325	6	vps5 c terminal like
PF04598	6	gasdermin pore forming domain
PF17902	6	sh3 domain
PF04433	6	swirm domain
PF02953	6	tim10/ddp family zinc finger
PF06297	6	pet domain
PF01400	6	astacin (peptidase family m12a)
PF05221	6	s-adenosyl-l-homocysteine hydrolase
PF08726	6	ca2+ insensitive ef hand
PF05699	6	hat family c-terminal dimerisation region
PF04438	6	hit zinc finger
PF18020	6	tig domain found in plexin
PF00305	6	lipoxygenase
PF17838	6	ph domain
PF15410	6	pleckstrin homology domain
PF08282	6	haloacid dehalogenase-like hydrolase
PF01223	6	dna/rna non-specific endonuclease
PF16421	6	e2f transcription factor cc-mb domain
PF19035	6	ccn3 nov like tsp1 domain
PF07303	6	occludin homology domain
PF03097	6	bro1-like domain
PF13307	6	helicase c-terminal domain
PF14634	6	zinc-ring finger domain
PF06470	6	smc proteins flexible hinge domain
PF19047	6	hook domain
PF13621	6	cupin-like domain
PF07973	6	threonyl and alanyl trna synthetase second additional domain
PF09069	6	ef-hand
PF09068	6	ef hand
PF13519	6	von willebrand factor type a domain
PF07534	6	tld
PF08150	6	ferb (nuc096) domain
PF17681	5	gamma tubulin complex component n-terminal
PF04130	5	gamma tubulin complex component c-terminal
PF09042	5	titin z
PF15901	5	sortilin, neurotensin receptor 3, c-terminal
PF04427	5	brix domain
PF12697	5	alpha/beta hydrolase family
PF04893	5	yip1 domain
PF18102	5	deltex c-terminal domain
PF01476	5	lysm domain
PF00565	5	staphylococcal nuclease homologue
PF13901	5	putative zinc-ring and/or ribbon
PF08527	5	protein-arginine deiminase (pad) middle domain
PF08526	5	protein-arginine deiminase (pad) n-terminal domain
PF13905	5	thioredoxin-like
PF12140	5	sled domain
PF04500	5	flywch zinc finger domain
PF07683	5	cobalamin synthesis protein cobw c-terminal domain
PF02492	5	cobw/hypb/ureg, nucleotide-binding domain
PF08477	5	ras of complex, roc, domain of dapkinase
PF12836	5	helix-hairpin-helix motif
PF17751	5	skich domain
PF07528	5	dzf domain
PF07687	5	peptidase dimerisation domain
PF12347	5	holliday junction regulator protein family c-terminal repeat
PF01612	5	3'-5' exonuclease
PF06456	5	arfaptin-like domain
PF08840	5	baat / acyl-coa thioester hydrolase c terminal
PF05240	5	apobec-like c-terminal domain
PF10417	5	c-terminal domain of 1-cys peroxiredoxin
PF00578	5	ahpc/tsa family
PF02928	5	c5hc2 zinc finger
PF02149	5	kinase associated domain 1
PF06464	5	dmap1-binding domain
PF14513	5	diacylglycerol kinase n-terminus
PF02036	5	scp-2 sterol transfer family
PF16450	5	proteasomal atpase ob c-terminal domain
PF00117	5	glutamine amidotransferase class-i
PF14492	5	elongation factor g, domain iii
PF00323	5	mammalian defensin
PF00319	5	srf-type transcription factor (dna-binding and dimerisation domain)
PF02780	5	transketolase, c-terminal domain
PF02874	5	atp synthase alpha/beta family, beta-barrel domain
PF00006	5	atp synthase alpha/beta family, nucleotide-binding domain
PF03921	5	intercellular adhesion molecule (icam), n-terminal domain
PF18372	5	integrin beta epidermal growth factor like domain 1
PF00202	5	aminotransferase class-iii
PF00210	5	ferritin-like domain
PF04253	5	transferrin receptor-like dimerisation domain
PF00932	5	lamin tail domain
PF05790	5	immunoglobulin c2-set domain
PF01821	5	anaphylotoxin-like domain
PF00156	5	phosphoribosyl transferase domain
PF07731	5	multicopper oxidase
PF02852	5	pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
PF00970	5	oxidoreductase fad-binding domain
PF17907	5	aws domain
PF09289	5	follistatin/osteonectin-like egf domain
PF17772	5	myst family zinc finger domain
PF17217	5	upa domain
PF09067	5	erythropoietin receptor, ligand binding
PF00635	5	msp (major sperm protein) domain
PF17811	5	jumonji helical domain
PF03045	5	dan domain
PF18366	5	zic proteins zinc finger domain
PF17708	5	gasdermin pub domain
PF14572	5	phosphoribosyl synthetase-associated domain
PF13793	5	n-terminal domain of ribose phosphate pyrophosphokinase
PF03172	5	hsr domain
PF09258	5	glycosyl transferase family 64 domain
