Pocket Set	Domain	PDB	Chain	DOI hyperlink
PDB-LIG	O14792_PF00685_54_298	1ZRH	A	http://doi.org/10.2210/pdb1ZRH/pdb
PDB-LIG	O14920_PF00069_15_297	4KIK	B	http://doi.org/10.2210/pdb4KIK/pdb
PDB-LIG	O14931_PF07686_22_128	3NOI	A	http://doi.org/10.2210/pdb3NOI/pdb
PDB-LIG	O14936_PF00069_12_276	3C0I	A	http://doi.org/10.2210/pdb3C0I/pdb
PDB-LIG	O14965_PF00069_133_383	5L8L	A	http://doi.org/10.2210/pdb5L8L/pdb
PDB-LIG	O14966_PF00071_9_175	6HH2	A	http://doi.org/10.2210/pdb6HH2/pdb
PDB-LIG	O14976_PF00069_40_313	5Y80	A	http://doi.org/10.2210/pdb5Y80/pdb
PDB-LIG	O14994_PF02750_193_395	2P0A	B	http://doi.org/10.2210/pdb2P0A/pdb
PDB-LIG	O15054_PF02373_1377_1485	2XXZ	B	http://doi.org/10.2210/pdb2XXZ/pdb
PDB-LIG	O15066_PF00225_15_340	3B6U	B	http://doi.org/10.2210/pdb3B6U/pdb
PDB-LIG	O15075_PF00069_390_647	5JZJ	A	http://doi.org/10.2210/pdb5JZJ/pdb
PDB-LIG	O15111_PF00069_15_298	5EBZ	A	http://doi.org/10.2210/pdb5EBZ/pdb
PDB-LIG	O15118_PF16414_22_267	6W5S	A	http://doi.org/10.2210/pdb6W5S/pdb
PDB-LIG	O15151_PF02201_25_95	6Q9Y	B	http://doi.org/10.2210/pdb6Q9Y/pdb
PDB-LIG	O15164_PF00439_908_992	4YBT	A	http://doi.org/10.2210/pdb4YBT/pdb
PDB-LIG	O15178_PF00907_44_219	5QS1	A	http://doi.org/10.2210/pdb5QS1/pdb
PDB-LIG	O15247_PF13410_74_218	2PER	A	http://doi.org/10.2210/pdb2PER/pdb
PDB-LIG	O15264_PF00069_25_308	5EKO	A	http://doi.org/10.2210/pdb5EKO/pdb
PDB-LIG	O15270_PF00155_168_528	7CQI	T	http://doi.org/10.2210/pdb7CQI/pdb
PDB-LIG	O15296_PF00305_175_661	7LAF	B	http://doi.org/10.2210/pdb7LAF/pdb
PDB-LIG	O15382_PF01063_100_350	5CR5	B	http://doi.org/10.2210/pdb5CR5/pdb
PDB-LIG	O15393_PF00089_256_484	7MEQ	A	http://doi.org/10.2210/pdb7MEQ/pdb
PDB-LIG	O15496_PF00068_44_150	5OWC	B	http://doi.org/10.2210/pdb5OWC/pdb
PDB-LIG	O15530_PF00069_82_342	5LVO	A	http://doi.org/10.2210/pdb5LVO/pdb
PDB-LIG	O15540_PF00061_7_132	7E25	A	http://doi.org/10.2210/pdb7E25/pdb
PDB-LIG	O15550_PF02373_1133_1241	6FUL	A	http://doi.org/10.2210/pdb6FUL/pdb
PDB-LIG	O43175_PF00389_9_317	6RJ3	A	http://doi.org/10.2210/pdb6RJ3/pdb
PDB-LIG	O43175_PF02826_111_285	5NZO	A	http://doi.org/10.2210/pdb5NZO/pdb
PDB-LIG	O43252_PF01583_51_209	2PEZ	A	http://doi.org/10.2210/pdb2PEZ/pdb
PDB-LIG	O43252_PF01747_394_617	1XNJ	A	http://doi.org/10.2210/pdb1XNJ/pdb
PDB-LIG	O43293_PF00069_13_275	3BHY	A	http://doi.org/10.2210/pdb3BHY/pdb
PDB-LIG	O43318_PF07714_36_284	2EVA	A	http://doi.org/10.2210/pdb2EVA/pdb
PDB-LIG	O43353_PF07714_18_290	5NG0	B	http://doi.org/10.2210/pdb5NG0/pdb
PDB-LIG	O43488_PF00248_41_348	2BP1	B	http://doi.org/10.2210/pdb2BP1/pdb
PDB-LIG	O43570_PF00194_38_289	5MSA	C	http://doi.org/10.2210/pdb5MSA/pdb
PDB-LIG	O43598_PF05014_23_134	4P5E	A	http://doi.org/10.2210/pdb4P5E/pdb
PDB-LIG	O43683_PF00069_787_1032	5DMZ	A	http://doi.org/10.2210/pdb5DMZ/pdb
PDB-LIG	O43704_PF00685_38_289	3CKL	A	http://doi.org/10.2210/pdb3CKL/pdb
PDB-LIG	O43781_PF00069_209_522	5Y86	A	http://doi.org/10.2210/pdb5Y86/pdb
PDB-LIG	O43809_PF13869_35_222	5R4Q	B	http://doi.org/10.2210/pdb5R4Q/pdb
PDB-LIG	O43865_PF00670_289_450	3MTG	B	http://doi.org/10.2210/pdb3MTG/pdb
PDB-LIG	O43865_PF05221_237_529	3MTG	A	http://doi.org/10.2210/pdb3MTG/pdb
PDB-LIG	O43913_PF13191_7_156	7CTE	E	http://doi.org/10.2210/pdb7CTE/pdb
PDB-LIG	O43929_PF13191_36_190	7CTE	D	http://doi.org/10.2210/pdb7CTE/pdb
PDB-LIG	O60218_PF00248_15_294	1ZUA	X	http://doi.org/10.2210/pdb1ZUA/pdb
PDB-LIG	O60313_PF00350_291_469	6JTG	A	http://doi.org/10.2210/pdb6JTG/pdb
PDB-LIG	O60341_PF01593_288_826	6KGO	A	http://doi.org/10.2210/pdb6KGO/pdb
PDB-LIG	O60493_PF00787_57_148	7BLO	L	http://doi.org/10.2210/pdb7BLO/pdb
PDB-LIG	O60507_PF13469_70_263	5WRI	A	http://doi.org/10.2210/pdb5WRI/pdb
PDB-LIG	O60547_PF16363_27_358	6GPK	C	http://doi.org/10.2210/pdb6GPK/pdb
PDB-LIG	O60551_PF01233_139_296	6PAU	A	http://doi.org/10.2210/pdb6PAU/pdb
PDB-LIG	O60658_PF00233_555_806	3ECN	A	http://doi.org/10.2210/pdb3ECN/pdb
PDB-LIG	O60674_PF07714_545_805	5UT3	A	http://doi.org/10.2210/pdb5UT3/pdb
PDB-LIG	O60674_PF07714_849_1123	7LL4	A	http://doi.org/10.2210/pdb7LL4/pdb
PDB-LIG	O60701_PF03721_5_195	5VR8	E	http://doi.org/10.2210/pdb5VR8/pdb
PDB-LIG	O60704_PF13469_69_262	3AP1	B	http://doi.org/10.2210/pdb3AP1/pdb
PDB-LIG	O60741_PF00027_493_576	6UQF	C	http://doi.org/10.2210/pdb6UQF/pdb
PDB-LIG	O60760_PF02798_4_73	4EE0	B	http://doi.org/10.2210/pdb4EE0/pdb
PDB-LIG	O60825_PF01591_26_249	5HTK	A	http://doi.org/10.2210/pdb5HTK/pdb
PDB-LIG	O60882_PF00413_116_271	2JSD	A	http://doi.org/10.2210/pdb2JSD/pdb
PDB-LIG	O60885_PF00439_357_445	4Z93	A	http://doi.org/10.2210/pdb4Z93/pdb
PDB-LIG	O60885_PF00439_67_152	4QB3	A	http://doi.org/10.2210/pdb4QB3/pdb
PDB-LIG	O60911_PF00112_114_333	1FH0	A	http://doi.org/10.2210/pdb1FH0/pdb
PDB-LIG	O75116_PF00069_92_354	7JNT	B	http://doi.org/10.2210/pdb7JNT/pdb
PDB-LIG	O75164_PF02373_175_291	3PDQ	A	http://doi.org/10.2210/pdb3PDQ/pdb
PDB-LIG	O75173_PF01421_218_428	4WK7	A	http://doi.org/10.2210/pdb4WK7/pdb
PDB-LIG	O75191_PF02782_295_481	4BC2	C	http://doi.org/10.2210/pdb4BC2/pdb
PDB-LIG	O75208_PF08511_210_286	6DEW	B	http://doi.org/10.2210/pdb6DEW/pdb
PDB-LIG	O75385_PF00069_16_278	4WNO	A	http://doi.org/10.2210/pdb4WNO/pdb
PDB-LIG	O75460_PF00069_571_832	7BMK	B	http://doi.org/10.2210/pdb7BMK/pdb
PDB-LIG	O75469_PF00104_238_415	7AXE	A	http://doi.org/10.2210/pdb7AXE/pdb
PDB-LIG	O75582_PF00069_427_687	3KN5	B	http://doi.org/10.2210/pdb3KN5/pdb
PDB-LIG	O75608_PF02230_8_226	5SYM	A	http://doi.org/10.2210/pdb5SYM/pdb
PDB-LIG	O75628_PF00071_82_245	2NZJ	A	http://doi.org/10.2210/pdb2NZJ/pdb
PDB-LIG	O75689_PF00169_130_229	3MDB	C	http://doi.org/10.2210/pdb3MDB/pdb
PDB-LIG	O75716_PF00069_20_290	2BUJ	B	http://doi.org/10.2210/pdb2BUJ/pdb
PDB-LIG	O75828_PF00106_6_152	2HRB	A	http://doi.org/10.2210/pdb2HRB/pdb
PDB-LIG	O75844_PF01435_228_473	6BH8	B	http://doi.org/10.2210/pdb6BH8/pdb
PDB-LIG	O75844_PF16491_41_225	5SYT	A	http://doi.org/10.2210/pdb5SYT/pdb
PDB-LIG	O75874_PF00180_9_401	6BKX	A	http://doi.org/10.2210/pdb6BKX/pdb
PDB-LIG	O75891_PF00551_1_180	2CFI	A	http://doi.org/10.2210/pdb2CFI/pdb
PDB-LIG	O75897_PF00685_45_295	2GWH	A	http://doi.org/10.2210/pdb2GWH/pdb
PDB-LIG	O75899_PF00003_475_743	6WIV	B	http://doi.org/10.2210/pdb6WIV/pdb
PDB-LIG	O75914_PF00069_283_534	6FD3	A	http://doi.org/10.2210/pdb6FD3/pdb
PDB-LIG	O75936_PF02668_107_366	4C5W	A	http://doi.org/10.2210/pdb4C5W/pdb
PDB-LIG	O76039_PF00069_13_297	4BGQ	A	http://doi.org/10.2210/pdb4BGQ/pdb
PDB-LIG	O76054_PF00650_81_243	4OMJ	A	http://doi.org/10.2210/pdb4OMJ/pdb
PDB-LIG	O76074_PF00233_612_846	5JO3	B	http://doi.org/10.2210/pdb5JO3/pdb
PDB-LIG	O76083_PF00233_311_542	4Y86	B	http://doi.org/10.2210/pdb4Y86/pdb
PDB-LIG	O94768_PF00069_33_293	6Y6H	A	http://doi.org/10.2210/pdb6Y6H/pdb
PDB-LIG	O94804_PF00069_36_294	6EIM	B	http://doi.org/10.2210/pdb6EIM/pdb
PDB-LIG	O94925_PF04960_244_530	3VP1	A	http://doi.org/10.2210/pdb3VP1/pdb
PDB-LIG	O94953_PF02373_176_292	4LXL	A	http://doi.org/10.2210/pdb4LXL/pdb
PDB-LIG	O95045_PF01048_60_310	3P0F	A	http://doi.org/10.2210/pdb3P0F/pdb
PDB-LIG	O95057_PF00071_9_169	2GF0	A	http://doi.org/10.2210/pdb2GF0/pdb
PDB-LIG	O95140_PF00350_99_259	6JFK	A	http://doi.org/10.2210/pdb6JFK/pdb
PDB-LIG	O95154_PF00248_12_320	2CLP	E	http://doi.org/10.2210/pdb2CLP/pdb
PDB-LIG	O95340_PF01583_41_199	2AX4	B	http://doi.org/10.2210/pdb2AX4/pdb
PDB-LIG	O95340_PF01747_384_607	7FHA	A	http://doi.org/10.2210/pdb7FHA/pdb
PDB-LIG	O95372_PF02230_11_228	5SYN	B	http://doi.org/10.2210/pdb5SYN/pdb
PDB-LIG	O95398_PF00027_265_349	6H7E	A	http://doi.org/10.2210/pdb6H7E/pdb
PDB-LIG	O95445_PF11032_1_187	2YG2	A	http://doi.org/10.2210/pdb2YG2/pdb
PDB-LIG	O95486_PF08033_744_828	5VNL	B	http://doi.org/10.2210/pdb5VNL/pdb
PDB-LIG	O95568_PF13489_171_338	4RFQ	A	http://doi.org/10.2210/pdb4RFQ/pdb
PDB-LIG	O95619_PF03366_42_122	5R68	A	http://doi.org/10.2210/pdb5R68/pdb
PDB-LIG	O95696_PF00439_571_654	5POU	B	http://doi.org/10.2210/pdb5POU/pdb
PDB-LIG	O95696_PF00855_930_1044	4Z02	A	http://doi.org/10.2210/pdb4Z02/pdb
PDB-LIG	O95716_PF00071_24_185	2GF9	A	http://doi.org/10.2210/pdb2GF9/pdb
PDB-LIG	O95718_PF00104_237_416	6LIT	B	http://doi.org/10.2210/pdb6LIT/pdb
PDB-LIG	O95747_PF00069_17_291	2VWI	D	http://doi.org/10.2210/pdb2VWI/pdb
PDB-LIG	O95749_PF00348_9_251	6R4V	B	http://doi.org/10.2210/pdb6R4V/pdb
PDB-LIG	O95819_PF00069_25_289	4U43	A	http://doi.org/10.2210/pdb4U43/pdb
PDB-LIG	O95822_PF05292_193_457	4F0X	E	http://doi.org/10.2210/pdb4F0X/pdb
PDB-LIG	O96013_PF00069_321_572	5VEF	A	http://doi.org/10.2210/pdb5VEF/pdb
PDB-LIG	O96017_PF00069_220_486	2YCF	A	http://doi.org/10.2210/pdb2YCF/pdb
PDB-LIG	O96028_PF00855_223_334	6XCG	B	http://doi.org/10.2210/pdb6XCG/pdb
PDB-LIG	P00325_PF00107_203_339	1U3U	B	http://doi.org/10.2210/pdb1U3U/pdb
PDB-LIG	P00325_PF08240_34_161	1U3U	A	http://doi.org/10.2210/pdb1U3U/pdb
PDB-LIG	P00326_PF00107_203_339	1U3W	A	http://doi.org/10.2210/pdb1U3W/pdb
PDB-LIG	P00326_PF08240_34_161	1U3W	A	http://doi.org/10.2210/pdb1U3W/pdb
PDB-LIG	P00338_PF00056_21_160	5W8K	B	http://doi.org/10.2210/pdb5W8K/pdb
PDB-LIG	P00338_PF02866_163_331	4RLS	D	http://doi.org/10.2210/pdb4RLS/pdb
PDB-LIG	P00374_PF00186_4_185	1KMV	A	http://doi.org/10.2210/pdb1KMV/pdb
PDB-LIG	P00387_PF00970_44_151	1UMK	A	http://doi.org/10.2210/pdb1UMK/pdb
PDB-LIG	P00439_PF00351_119_449	6HYC	D	http://doi.org/10.2210/pdb6HYC/pdb
PDB-LIG	P00441_PF00080_15_150	4A7U	A	http://doi.org/10.2210/pdb4A7U/pdb
PDB-LIG	P00480_PF00185_187_341	1OTH	A	http://doi.org/10.2210/pdb1OTH/pdb
PDB-LIG	P00491_PF01048_26_280	4EAR	A	http://doi.org/10.2210/pdb4EAR/pdb
PDB-LIG	P00492_PF00156_37_196	4RAD	H	http://doi.org/10.2210/pdb4RAD/pdb
PDB-LIG	P00519_PF07714_242_493	5HU9	A	http://doi.org/10.2210/pdb5HU9/pdb
PDB-LIG	P00533_PF07714_712_968	5UG9	A	http://doi.org/10.2210/pdb5UG9/pdb
PDB-LIG	P00558_PF00162_9_406	2WZB	A	http://doi.org/10.2210/pdb2WZB/pdb
PDB-LIG	P00568_PF00406_13_169	2C95	A	http://doi.org/10.2210/pdb2C95/pdb
PDB-LIG	P00734_PF00089_364_613	4YES	B	http://doi.org/10.2210/pdb4YES/pdb
PDB-LIG	P00740_PF00089_227_454	5JB9	S	http://doi.org/10.2210/pdb5JB9/pdb
PDB-LIG	P00742_PF00089_235_462	2JKH	A	http://doi.org/10.2210/pdb2JKH/pdb
PDB-LIG	P00746_PF00089_26_248	5NAT	A	http://doi.org/10.2210/pdb5NAT/pdb
PDB-LIG	P00747_PF00051_103_181	4CIK	A	http://doi.org/10.2210/pdb4CIK/pdb
PDB-LIG	P00747_PF00051_185_262	1B2I	A	http://doi.org/10.2210/pdb1B2I/pdb
PDB-LIG	P00747_PF00089_581_803	5UGG	A	http://doi.org/10.2210/pdb5UGG/pdb
PDB-LIG	P00748_PF00089_373_609	6X0T	C	http://doi.org/10.2210/pdb6X0T/pdb
PDB-LIG	P00749_PF00089_179_419	4FUH	A	http://doi.org/10.2210/pdb4FUH/pdb
PDB-LIG	P00750_PF00089_311_556	1RTF	B	http://doi.org/10.2210/pdb1RTF/pdb
PDB-LIG	P00751_PF00089_481_752	1RTK	A	http://doi.org/10.2210/pdb1RTK/pdb
PDB-LIG	P00813_PF00962_10_350	3IAR	A	http://doi.org/10.2210/pdb3IAR/pdb
PDB-LIG	P00915_PF00194_12_261	6I0J	B	http://doi.org/10.2210/pdb6I0J/pdb
PDB-LIG	P00918_PF00194_11_259	3K34	A	http://doi.org/10.2210/pdb3K34/pdb
PDB-LIG	P01009_PF00079_52_415	7NPL	A	http://doi.org/10.2210/pdb7NPL/pdb
PDB-LIG	P01111_PF00071_5_165	6ZIO	A	http://doi.org/10.2210/pdb6ZIO/pdb
PDB-LIG	P01112_PF00071_5_165	2CE2	X	http://doi.org/10.2210/pdb2CE2/pdb
PDB-LIG	P01116_PF00071_5_165	6P0Z	B	http://doi.org/10.2210/pdb6P0Z/pdb
PDB-LIG	P01889_PF00129_25_203	3VRI	A	http://doi.org/10.2210/pdb3VRI/pdb
PDB-LIG	P02689_PF00061_6_132	6S2M	A	http://doi.org/10.2210/pdb6S2M/pdb
PDB-LIG	P02743_PF00354_26_219	4AVS	D	http://doi.org/10.2210/pdb4AVS/pdb
PDB-LIG	P02753_PF00061_39_188	5NU9	A	http://doi.org/10.2210/pdb5NU9/pdb
PDB-LIG	P02766_PF00576_32_139	4ACT	B	http://doi.org/10.2210/pdb4ACT/pdb
PDB-LIG	P02768_PF00273_222_394	6L4K	I	http://doi.org/10.2210/pdb6L4K/pdb
PDB-LIG	P02768_PF00273_30_202	6YG9	A	http://doi.org/10.2210/pdb6YG9/pdb
PDB-LIG	P02768_PF00273_414_592	6L4K	A	http://doi.org/10.2210/pdb6L4K/pdb
PDB-LIG	P02774_PF00273_27_199	1J78	B	http://doi.org/10.2210/pdb1J78/pdb
PDB-LIG	P03372_PF00104_332_531	6SBO	B	http://doi.org/10.2210/pdb6SBO/pdb
PDB-LIG	P03951_PF00089_388_618	7MBO	A	http://doi.org/10.2210/pdb7MBO/pdb
PDB-LIG	P03952_PF00089_391_621	6I44	A	http://doi.org/10.2210/pdb6I44/pdb
PDB-LIG	P03956_PF00413_108_261	1HFC	A	http://doi.org/10.2210/pdb1HFC/pdb
PDB-LIG	P04040_PF00199_28_411	1DGF	C	http://doi.org/10.2210/pdb1DGF/pdb
PDB-LIG	P04049_PF07714_349_606	3OMV	B	http://doi.org/10.2210/pdb3OMV/pdb
PDB-LIG	P04062_PF02055_117_466	6Q6N	A	http://doi.org/10.2210/pdb6Q6N/pdb
PDB-LIG	P04070_PF00089_212_445	3F6U	H	http://doi.org/10.2210/pdb3F6U/pdb
PDB-LIG	P04150_PF00104_549_741	4UDD	A	http://doi.org/10.2210/pdb4UDD/pdb
PDB-LIG	P04181_PF00202_50_436	5VWO	B	http://doi.org/10.2210/pdb5VWO/pdb
PDB-LIG	P04278_PF00054_75_205	1D2S	A	http://doi.org/10.2210/pdb1D2S/pdb
PDB-LIG	P04626_PF07714_720_976	3PP0	A	http://doi.org/10.2210/pdb3PP0/pdb
PDB-LIG	P04629_PF07714_510_781	4PMP	A	http://doi.org/10.2210/pdb4PMP/pdb
PDB-LIG	P04637_PF00870_99_289	6GGC	B	http://doi.org/10.2210/pdb6GGC/pdb
PDB-LIG	P04746_PF00128_46_348	4GQR	A	http://doi.org/10.2210/pdb4GQR/pdb
PDB-LIG	P04798_PF00067_40_501	4I8V	A	http://doi.org/10.2210/pdb4I8V/pdb
PDB-LIG	P04818_PF00303_31_313	1HVY	A	http://doi.org/10.2210/pdb1HVY/pdb
PDB-LIG	P05089_PF00491_6_305	4HWW	A	http://doi.org/10.2210/pdb4HWW/pdb
PDB-LIG	P05090_PF00061_43_184	2HZQ	A	http://doi.org/10.2210/pdb2HZQ/pdb
PDB-LIG	P05093_PF00067_28_493	6WR1	A	http://doi.org/10.2210/pdb6WR1/pdb
PDB-LIG	P05108_PF00067_52_511	3N9Y	B	http://doi.org/10.2210/pdb3N9Y/pdb
PDB-LIG	P05121_PF00079_33_402	4IC0	C	http://doi.org/10.2210/pdb4IC0/pdb
PDB-LIG	P05164_PF03098_173_718	7LAN	I	http://doi.org/10.2210/pdb7LAN/pdb
PDB-LIG	P05177_PF00067_42_505	2HI4	A	http://doi.org/10.2210/pdb2HI4/pdb
PDB-LIG	P05181_PF00067_33_489	3E6I	B	http://doi.org/10.2210/pdb3E6I/pdb
PDB-LIG	P05230_PF00167_25_148	1RML	A	http://doi.org/10.2210/pdb1RML/pdb
PDB-LIG	P05413_PF00061_6_132	4TKB	A	http://doi.org/10.2210/pdb4TKB/pdb
PDB-LIG	P05543_PF00079_44_412	4X30	A	http://doi.org/10.2210/pdb4X30/pdb
PDB-LIG	P05771_PF00069_342_600	2I0E	A	http://doi.org/10.2210/pdb2I0E/pdb
PDB-LIG	P05981_PF00089_163_400	5CE1	A	http://doi.org/10.2210/pdb5CE1/pdb
PDB-LIG	P06126_PF16497_1_197	5J1A	A	http://doi.org/10.2210/pdb5J1A/pdb
PDB-LIG	P06132_PF01208_14_360	1R3S	A	http://doi.org/10.2210/pdb1R3S/pdb
PDB-LIG	P06213_PF07714_1023_1290	5HHW	A	http://doi.org/10.2210/pdb5HHW/pdb
PDB-LIG	P06239_PF07714_245_494	1QPC	A	http://doi.org/10.2210/pdb1QPC/pdb
PDB-LIG	P06241_PF07714_271_520	2DQ7	X	http://doi.org/10.2210/pdb2DQ7/pdb
PDB-LIG	P06276_PF00135_30_550	6ZWI	A	http://doi.org/10.2210/pdb6ZWI/pdb
PDB-LIG	P06401_PF00104_704_891	1SQN	A	http://doi.org/10.2210/pdb1SQN/pdb
PDB-LIG	P06493_PF00069_4_287	6GU2	A	http://doi.org/10.2210/pdb6GU2/pdb
PDB-LIG	P06730_PF01652_38_197	4TQC	B	http://doi.org/10.2210/pdb4TQC/pdb
PDB-LIG	P06744_PF00342_54_546	6XUH	B	http://doi.org/10.2210/pdb6XUH/pdb
PDB-LIG	P06746_PF14792_149_262	9ICV	A	http://doi.org/10.2210/pdb9ICV/pdb
PDB-LIG	P06858_PF00151_17_338	6OB0	C	http://doi.org/10.2210/pdb6OB0/pdb
PDB-LIG	P07101_PF00351_195_525	6ZVP	A	http://doi.org/10.2210/pdb6ZVP/pdb
PDB-LIG	P07108_PF00887_3_78	2CB8	B	http://doi.org/10.2210/pdb2CB8/pdb
PDB-LIG	P07148_PF14651_1_127	3VG7	A	http://doi.org/10.2210/pdb3VG7/pdb
PDB-LIG	P07195_PF00056_22_161	7DBJ	B	http://doi.org/10.2210/pdb7DBJ/pdb
PDB-LIG	P07306_PF00059_171_279	5JQ1	A	http://doi.org/10.2210/pdb5JQ1/pdb
PDB-LIG	P07327_PF00107_203_339	1U3T	A	http://doi.org/10.2210/pdb1U3T/pdb
PDB-LIG	P07327_PF08240_34_161	1U3T	A	http://doi.org/10.2210/pdb1U3T/pdb
PDB-LIG	P07332_PF07714_561_814	3CBL	A	http://doi.org/10.2210/pdb3CBL/pdb
PDB-LIG	P07333_PF07714_582_910	6T2W	A	http://doi.org/10.2210/pdb6T2W/pdb
PDB-LIG	P07360_PF00061_48_186	2OVD	A	http://doi.org/10.2210/pdb2OVD/pdb
PDB-LIG	P07437_PF00091_3_212	6I2I	B	http://doi.org/10.2210/pdb6I2I/pdb
PDB-LIG	P07477_PF00089_24_239	1FXY	A	http://doi.org/10.2210/pdb1FXY/pdb
PDB-LIG	P07686_PF00728_200_517	1NOW	A	http://doi.org/10.2210/pdb1NOW/pdb
PDB-LIG	P07711_PF00112_114_332	2XU3	A	http://doi.org/10.2210/pdb2XU3/pdb
PDB-LIG	P07741_PF00156_28_173	6FCL	A	http://doi.org/10.2210/pdb6FCL/pdb
PDB-LIG	P07814_PF00587_1108_1287	4HVC	B	http://doi.org/10.2210/pdb4HVC/pdb
PDB-LIG	P07858_PF00112_80_329	6AY2	B	http://doi.org/10.2210/pdb6AY2/pdb
PDB-LIG	P07900_PF02518_40_194	5J2X	A	http://doi.org/10.2210/pdb5J2X/pdb
PDB-LIG	P07902_PF01087_22_196	6GQD	A	http://doi.org/10.2210/pdb6GQD/pdb
PDB-LIG	P07948_PF07714_247_497	5XY1	A	http://doi.org/10.2210/pdb5XY1/pdb
PDB-LIG	P07949_PF07714_724_1005	7DUA	A	http://doi.org/10.2210/pdb7DUA/pdb
PDB-LIG	P08069_PF07714_999_1266	3LW0	C	http://doi.org/10.2210/pdb3LW0/pdb
PDB-LIG	P08134_PF00071_7_180	2GCO	B	http://doi.org/10.2210/pdb2GCO/pdb
PDB-LIG	P08185_PF00079_41_404	2VDY	A	http://doi.org/10.2210/pdb2VDY/pdb
PDB-LIG	P08235_PF00104_758_946	4PF3	A	http://doi.org/10.2210/pdb4PF3/pdb
PDB-LIG	P08238_PF02518_35_189	6N8Y	A	http://doi.org/10.2210/pdb6N8Y/pdb
PDB-LIG	P08240_PF00448_418_637	6Y32	F	http://doi.org/10.2210/pdb6Y32/pdb
PDB-LIG	P08246_PF00089_30_242	5ABW	A	http://doi.org/10.2210/pdb5ABW/pdb
PDB-LIG	P08254_PF00413_108_264	1HY7	B	http://doi.org/10.2210/pdb1HY7/pdb
PDB-LIG	P08263_PF02798_5_77	6ATR	B	http://doi.org/10.2210/pdb6ATR/pdb
